overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,image,style
5,True,"05 7, 2015",A32CQJQBV7YRT,4639725183,Corsair174,"I love this tea!  Okay, I'm not a high falutin' tea snob, but I first enjoyed this Lipton yellow label tea when on a trip to Singapore, and whether it was the room service, the company, or the country - it left such a favorable impression on me, I search it out whenever possible.  Maybe it's the same as the USA's white label Lipton tea, but the yellow label tea appears to me to be smoother and more mellow.  I would highly recommend it - give it a try!",Love this tea!,1430956800,,,
5,True,"04 25, 2015",A38HL6OKPEP09Z,4639725183,K. Barry,Fell in love with this tea in 1986 when I went to Barbados and have been drinking it ever since. I try not to drink anything else. So happy that I can now get it on Amazon!,Best cup of tea ever!,1429920000,,,
5,True,"04 21, 2015",A29VUPA3E01L9R,4639725183,Freddy,You can't buy this particular type of Lipton Tea in any of the common markets in America.  The price was exceptional and the tea arrived at my address in 2 days.  Cheers!,You can't buy this particular type of Lipton Tea in ...,1429574400,,,
5,True,"02 26, 2015",A1KJGHW6QRUG3M,4639725183,Cinzia,Wonderful tea. It's the best I have ever had !,yellow label is great,1424908800,,,
5,True,"02 9, 2015",A104QC37VBWVOG,4639725183,Mary B. Snyder,Learned of this tea and used it in Kuwait.  Best ice tea ever,Best ice tea,1423440000,,,
5,True,"01 28, 2015",APMUMWX085HKK,4639725183,FADI RAMADAN,"The best tea ever. This is not sold in US market, and us not anything like the Lipton we buy in the US. Rich, dark and tasty. Also, they come wrapped with heavy duty plastic bag that keeps them fresh and protects the box. 5 stars all the way.",The Best Tea Flavor,1422403200,,,
5,True,"01 28, 2015",A2EUMXCQHCP25R,4639725183,Metajohn,"Discovered this tea at a local Med. Rest....a great tea, have been sharing with friends.  Everyone likes it and will be ordering more.  Thanks Amazon for carrying this tea, otherwise not available where we live.",Great tea,1422403200,,,
5,True,"01 28, 2015",A1K38YMG25ICF5,4639725183,Kelly S. Stephenson,I discovered this tea on a trip to Paris. It is hands down the best!,It is hands down the best!,1422403200,,,
2,True,"01 10, 2015",A36N7FI7QREIH7,4639725183,Frederick R. Robbins,"Lipton Yellow is normally great premium tea, but this batch tastes the same or worse than the cheap tea in the grocery store.",Lipton Yellow is normally great premium tea,1420848000,,,
4,True,"12 23, 2014",A3QD1PUOO5I94A,4639725183,B,"Well I bought this tea after being in Malaysia for several months, mostly to try making teh tarik without using loose tea as we did several times. I failed with regular Lipton black tea, thought the difference must be because of Yellow label. That turned out to be wrong, the problem is the condensed milk which is clearly different in Malaysia than what I've been able to get in the U.S.

I would say the taste is marginally different than regular Lipton black tea, if you had me do a blind taste test I'm not convinced I would be able to know which I was drinking with a reliable success rate.

I ordered 4 boxes and the packaging was sealed well, but it has this unmistakable dust-like taste that is ruining the tea.

Edit: I've gone through 2 boxes and only the first had the dusty taste. The others are fine, and pretty much taste the same as regular Lipton black tea",Well I bought this tea after being in Malaysia for ...,1419292800,,,
5,True,"12 17, 2014",A9E9L159FFMHP,4639725183,S. Wood,"We really like this tea.  It is definitely different from the regular yellow box of 100 that I get in the stores.  You can tell the difference when you drop them into hot water.  They sink much faster than the regular ones.  In the end, I think they have a somewhat stronger flavor that is good.  I plan to keep buying these.",We really like this tea,1418774400,,,
5,True,"11 29, 2014",A5PM3WM4M95WP,4639725183,valerfie,"If you liked the tea you drank in England, try this.",Good tea,1417219200,,,
5,True,"11 25, 2014",A1B65ENXWAN2SB,4639725183,Craig Rokosz,"Hard to find in the U.S.A.  Exactly as described, good quality.",good quality.,1416873600,,,
3,True,"11 23, 2014",A29LPNLNZ7E2XI,4639725183,Amazon Customer,"Normally this tea rates 5 stars, it has a wonderful rich flavor, nothing like the regular Lipton tea found in grocery stores in this country.  However, this batch, with a production date of 12/2013, has seams that open up during brewing and the tiny tea leaves spill into the cup necessitating for the tea to have to be strained.  I hope that this is an anomaly and that future batches will live up to its usually wonderful quality.",A Bad Batch,1416700800,,,
5,True,"05 5, 2012",APRYI2HUW1UUY,4639725043,John Gassere,"Lipton Yellow Label tea is very concentrated -- you don't have to use a large quantity to get excellent flavor. This makes for a good money value, as you extract maximum taste from small proportions of leaves. This version of Lipton tea reminds me of how Lipton's used to taste -- a good , traditional,  Pekoe flavor. In recent years, I feel Lipton has declined in quality in their bagged tea, but this loose Lipton's is much closer to the ""good old days.""&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Lipton-Yellow-Label-Loose-Tea-32-Ounce-Boxes-Pack-of-2/dp/B001QTRGAQ/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Lipton Yellow Label Loose Tea, 32-Ounce Boxes (Pack of 2)</a>",Great tea flavor and a really good money value,1336176000,7,,
5,True,"04 29, 2012",A1J205ZK25TZ6W,4639725043,kez panel project,"I make the best brewed iced tea with this yellow label Lipton tea. I make it by the gallon using the same amount as regular loose teas. I only add 1/4 cup of sugar per gallon. This tea has quickly replaced soda and tastes even better. After opening, I transfer the entire contents into a glass container (not plastic) with a metal screwed lid to keep the air out. We love this tea and hope Amazon keeps carrying it.",Best for brewed iced tea.,1335657600,8,,
5,True,"08 13, 2011",A3QSXC8LB4A1GQ,4639725043,Robert P. Crego,"This is my third purchase of Lipton Yellow Label Loose Tea.
Service on my purchase was excellent, it arrived expeditiously and well packaged.
This tea is special to me, it doesn't take a lot of it to brew up into a nice,dark ( I don't like weak tea!)and flavorful, fully enjoyable cup! I brew up every morning to start my day.
And, oh, yes, I detest tea bags, and very much enjoy the ritual of brewing my loose tea and in my opinion it make a much better beverage!
Many thanks for a great product and great service!",Lipton Yellow Label Loose Tea from Amazon,1313193600,8,,
5,True,"07 13, 2011",A1C0IKWJOZO2ET,4639725043,bdarden39,have not been able to find this tea in years.  i like to make my own from lose tea. this tea is like my  mother made and she made grand southern ice tea. lipton orange peko is the best. so glad i could find this iten at amazon,a glass of cold ice tea is happines,1310515200,4,,
5,True,"05 28, 2011",A11PRA5SXVFU9O,4639725043,allgoo19,"First time I brewed it, I measure the amount of tea by guessing from the way I measure green tea. The result was way too strong tea that stained the inside of my white cup. After a bit of experiment, I ended up with microscopic amount of tea per cup. If I could measure it on my scale, it'll be like less than 0.1gram. Compare to this, I use 0.5 gram of green tea per 8oz cup. I think this one pound box will last for years to come.
The taste is nothing fancy but what a good tea is supposed to taste like, then again I'm not a gourmet drinker, otherwise I'll be reviewing something else with higher price. It's good enough for me for every day use.
The tea in the dry state looks like round pellet, which is easier to control the amount when you scoop up.
I'd recommend this to anyone specially who hasn't tried loose tea in a while. I also recommend Finum brewing basket to go with this. Little things that make your life a bit more enjoyable.",Very potent,1306540800,11,,
4,True,"03 4, 2011",A1DTK26PJROKIZ,4639725043,Jd Lyall,"I had never heard of Yellow Label. I was looking for Lipton Loose Leaf, which is difficult to find in markets. Ordered this from (fulfilled by) Amazon to check it out. It is a 'gunpowder' style and tastes better than regular Lipton Loose. A smaller gunpowder than you find in gourmet tea stores, but an excellent tea at a reasonable price.",excellent loose tea,1299196800,12,,
3,False,"05 21, 2009",A1YA5QHMETOVC8,4639725043,W. Blackurn,"I have been a Lipton loose tea junkie for 50 years and as Lipton loose tea is getting hard to find locally I ordered some Lipton yellow label loose tea online thinking I was getting the same tea as I buy in the store. IT IS NOT THE SAME TEA! It's not bad but not as good as the ""Lipton Loose Tea"".",Lipton Yellow Label loose tea,1242864000,6,,
3,True,"04 11, 2008",ACOICLIJQYECU,4639725043,N D,"I have recently started drinking hot tea again (since my childhood when Grandma made us hot tea with milk & sugar) and have been trying different types and brands of tea to find my favorites.  I can't speak the tea lover's lingo (full-bodied, smoky with hints of arsnic, etc.) but this tea is decent.  I use it mostly to make iced tea but I drink it hot occasionally too.  I have been completely spoiled on Dilmah tea & now any others seem inferior.  Lipton Yellow Label is definitely better than PG Tips! I initially bought PG Tips and could never make a cup of hot tea that did not have a bitter after taste.  I thought it was my brewing technique until I tasted better teas.  I probably won't buy more of this tea since there are so many others out there to try but I plan to use up the rest of what I bought.  If anyone wants some PG Tips let me know & I'll send it to you for the price of shipping!!",Not Bad for iced Tea,1207872000,9,,
1,True,"03 31, 2017",A3ELDSSPP9RZPG,4639725043,Frambes,The tea is so fine it leaves tea particles floating in the cup.,Not tea leaves but a very fine powder.,1490918400,,,
5,True,"03 15, 2017",A29RCQA5G0B1BA,4639725043,Edward Pendleton,I like pretty much all of Lipton's tea... I just don't see any difference from this tea to all the other types on Lipton loose teas.,A Great Cuppa...!,1489536000,,,
5,True,"03 4, 2017",A34KF6WKUMO0G5,4639725043,Kindle Customer,"I was watching a youtube video about buying tea in New York and there was a guy from somewhere in the Pakistan, Afghanistan area who went to tea shops serving their ethnic choices of tea. In one of the shops they prepared I think it was called Kashmiri tea, I watched them put the ingredients in and they used this box of tea. I liked the final product. I tweeked the ratio of ingredients to my liking. Long story short, this tea is potent and I think only best for hot tea.",Strong for this American,1488585600,,,
3,True,"02 27, 2017",A2AW00VDYVKKKK,4639725043,Lou S. Hegwer,"it was ok, but it didn't taste like the Lipton of my youth that i loved so much. Maybe Iv'e just become too much of a tea snob!",not the same,1488153600,,,
4,True,"02 18, 2017",A1IF3LS4KDIBKC,4639725043,Amazon Customer,very good but was hard to find,Four Stars,1487376000,,,
5,True,"02 16, 2017",A36UNI086CDER,4639725043,Peter A Jones,Always a smashing cup of Tea.,Drink it  -  Buy It.,1487203200,,,
5,True,"02 2, 2017",A2YLAUYS6ILFT2,4639725043,Gwynne J. Rosemon,"I have been using tea bags for so long, I forgot what tea tasted like.  I make it in a Keurig and then make ice tea.",Very good!,1485993600,,,
5,True,"02 2, 2017",A2LNL6MN1OEXAM,4639725043,G. Smith,Great taste use it for cold brew - works great. Excellent flavor-- I cold brew and mix  1/2 tsp lemon juce with THM sweetener blends - great!!!!,Great taste use it for cold brew - works great,1485993600,,,
2,True,"01 28, 2017",AA3RFH4XSLRF,4639725043,Andrew Feaster,"Good for Lipton fans maybe, but not so good for tea fans. I thought this was going to be an authentic loose leaf tea, but they are like.... tea pebbles? They don't expand into leaves. In any case, it is a strong Lipton taste that I found no joy in. Gongfu style brewing really brought out this tea's essence, which was not a good thing.",Good for Lipton fans maybe,1485561600,,,
1,True,"01 22, 2017",A3NGPD2B16IDPY,4639725043,MSugar,This did not have the flavor expected. Definitely will not order again. If I could I would give no stars.,Not good . . .,1485043200,,,
5,True,"10 28, 2016",A1SYXG64L7IM02,4639725043,meherbaba,Hard to get in the us...nice to see,nice to,1477612800,,,
5,True,"08 28, 2016",A32TZ4HWVHBYX7,4639725043,cowgirl,Best tea for my single cup coffee maker. I purchased stainless steel single cup reusable. Make fresh tea every time. So much better than tea bags.,Best tea for my single cup coffee maker,1472342400,,,
5,True,"08 20, 2016",A24U3LHRBWI0U3,4639725043,Amazon Customer,Best tea Lipton makes,Five Stars,1471651200,,,
5,True,"08 11, 2016",A233NCMRAFSIE7,4639725043,Brenda J.,Same great tea that we drank in the Netherlands last month. Can't find it anywhere in any stores. Comes straight from India and very fresh.,Great tea,1470873600,,,
5,True,"08 2, 2016",A3ION7CZFMGNYC,4639725043,Beauty L.,AWAESAOME TASTE!! reminds you of cracker barrel or Chickfila tea!,Five Stars,1470096000,,,
3,True,"07 22, 2016",A2P5G3QWQK6MHR,4639725043,Morlock,"Lipton orange pekoe tea that looks like kitty litter. Not sure how they make this stuff, but its not like typical tea leaves. It looks like coarse coffee grounds.",Not your Average Orange Peoke Tea,1469145600,,,
1,True,"06 30, 2016",A1NNFPN62CFC5Q,4639725043,LC,foil bag not sealed!,One Star,1467244800,,,
5,True,"06 30, 2016",A1HYLLJ8EJXMGF,4639725043,VScott,"Just as I expected, Lipton Yellow Label makes a delicious and hearty cup of tea. Black, with lemon and a drop of brandy or with cream, I truly enjoy it.",A GOOD cup of tea!,1467244800,,,
5,True,"06 19, 2016",A1OO9PHUVVL5RE,4639725043,Thomas,Great tasting tea,Good Tea,1466294400,,,
5,True,"06 11, 2016",A1XUJENHZWT7SJ,4639725043,orville e. cox jr.,"Greatest Lipton Tea EVER. Good price, and prompt shipping. I will continue to purchase this product on Amazon.com Best Tea on the planet.",Five Stars,1465603200,,,
4,True,"05 8, 2016",A2AGPIWL0G3UQR,4639725043,Paul C. Caliri,"Good tea. Way better than baseline Lipton tea. The baseline Lipton tea is more of a powder, where this tea is in a granular-form. It brews much better/more efficiently. It has a really deep (almost chocolate-like) flavor. Much deeper/more potent than their bagged tea. I usually prefer Lipton teas, however, I did not give it 5-stars because while it is good, it is not as good as some others (Tetley, PG Tips, Taylors and Peet's, now Mighty Leaf. Orange Pekoe tea is considered (in the U.S.) as a budget tea and not a premium tea. This Lipton tea is priced accordingly.",Four Stars,1462665600,,,
5,True,"04 22, 2016",A1OW3ADZAC630E,4639725043,Amazon Customer,Excellent tasting tea!  So much better than what is sold in US Grocery Stores.,Great Tasting Tea,1461283200,,,
1,True,"03 11, 2016",A2PMV21JFDKJIU,4639725043,shopAholicr,This tea looks like coffee grounds. Brewed it once and threw it out.,does not look anything like tea.,1457654400,,,
5,True,"02 27, 2016",AI3VCPA1DTT37,4639725043,fourpugs,This is very flavorful Lipton tea which is a cut above the tea sold in tea bags.,Five Stars,1456531200,,,
5,True,"02 16, 2016",A392GAPLT42VSJ,4639725043,Swim_taxi,Good flavor.  Rather bold.  Makes great iced tea.,Five Stars,1455580800,,,
5,True,"02 11, 2016",A1WWHO8B64HCLN,4639725043,ALFRED W,OK tea.,TEA,1455148800,,,
5,True,"11 16, 2015",ADVA88NC8HPEI,4639725043,Tom Kokoshka,"Tried many teas ..... this is my standard reliable tea.
Yes you can pay more ....... but this is very good tea at a good price.",but this is very good tea at a good price,1447632000,,,
4,True,"10 23, 2015",A3UHPPVPM1TRNX,4639725043,Nocal ken,Basic good morning tea.,Good morning tea,1445558400,,,
4,True,"10 20, 2015",A1CMJ5QJ8AJVDC,4639725043,M. Koch,"Okay, but this is not the same Yellow Label Tea you would find in Hong Kong/China. The aroma is not quite as delicate.","Okay, but this is not the same Yellow Label ...",1445299200,,,
3,True,"09 22, 2015",A2VADVLLJES4YM,4639725043,Redford John,"I'm not much of a tea drinker but my wife and I wanted to try some loose tea rather than the tea bags that we usually get. It seemed a little less robust in flavor to me than I expected, although my wife was satisfied. However, she wasn't raving about it, either. Personally, I don't think I'd buy it again, but avid tea drinkers would be a better judge of that than me. It was ""just okay"".",I Prefer Coffee,1442880000,,,
5,True,"09 21, 2015",AAK49GOMTZ4OR,4639725043,MILTON D HORST,TEA IS FINE. WASN'T TO SURE ABOUT TEA BEADS OR ROLLED TEA LEAVES AT FIRST BUT TASTES AND BREWS FINE. DEAN,TEA IS FINE. WASN'T TO SURE ABOUT TEA BEADS OR ROLLED ...,1442793600,,,
2,True,"09 8, 2015",A3T7ACW6DIECL,4639725043,G. Brooks,Just not that good.,Disappointed,1441670400,,,
5,True,"09 1, 2015",A2C5FI4EW3WP4Q,4639725043,Stephanie Hembree,"I don't know what is different about this yellow label tea, but I do notice a difference between the regular lipton.  Which I love.  I am not a fancy tea kind of girl.  Somebody once said to me, ""oh Lipton, the tea by which all others are judged"".  At the Denver airport when I didn't want there flavored stuff.",Which I love. I am not a fancy tea kind of ...,1441065600,,,
5,True,"08 24, 2015",A3ALL8JW7604P7,4639725043,Sven,My second favorite tea!  Drink lots it'll make your day better.  It's not for tea drinkers who like weak tea.  It is dark and rich.,Good Stuff for those who like a strong tea,1440374400,,,
5,True,"08 22, 2015",A1A5GOE5E7BL9S,4639725043,Gerald D. Schrag,"Excellent product, price, shipping.",Excellent product,1440201600,,,
5,True,"08 2, 2015",AIE6PS00ZD2NL,4639725043,Thomas B. miller,Half yellow label and half black tea brewed in a French coffee pot works perfect for my taste,... black tea brewed in a French coffee pot works perfect for my,1438473600,,,
5,True,"07 4, 2015",A19XLYBG7REBLS,4639725043,Mohammed Siddiqui,excellent,Five Stars,1435968000,,,
4,True,"06 22, 2015",A37S7DRHBRG0JL,4639725043,Douglas Stone,we use it for ice tea...,Four Stars,1434931200,,,
5,True,"05 18, 2015",AYWW7XI2M0ZA4,4639725043,Tack F.,"The Yellow Label tea has a little richer flavor than the standard American blend and is, perhaps, a touch more bitter which I like.  Buying this six-pack even makes the price lower.",a touch more bitter which I like. Buying this six-pack even makes the price lower,1431907200,,,
5,True,"04 30, 2015",A3BROB68US60B8,4639725043,Nani Oakley,great tea and price,Five Stars,1430352000,,,
5,True,"03 30, 2015",A20RE1BHYXNDW1,4639725043,Georgianna Chamberlain,best tea,Five Stars,1427673600,,,
5,True,"03 15, 2015",A2HKSHGYDR8GB1,4639725043,Marcy K.,"Having just gotten a new tea pot as a gift, I thought I would try this instead of tea bags. It is more economical and the tea is much more flavorful and complex. I really like it and will buy it again.",Much better than tea bags,1426377600,,,
4,True,"03 13, 2015",A2GUE1T9LNWZ0T,4639725043,Robert in NY,Less bitter than the Lipton black tea sold in most US supermarkets,Less Bitter,1426204800,,,
5,True,"03 5, 2015",AYV52D2MKX2NG,4639725043,Amazon Customer,Great way to have tea.,Five Stars,1425513600,,,
1,True,"02 20, 2015",A12Z3P6W3M657S,4639725043,Arnold Irving,"Do not buy this. Not only did expire in 2011, but mine actually had a clearance sticker on it for 3.99. Look at how old all the higher reviews are.",Do not buy this!! Read the one stars!,1424390400,8,,
