overall,vote,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,style,image
5,8.0,False,"01 23, 2010",A3T2DUQAOSS5JW,0681795107,S. Scales,"This mug comes in a variety of colors most of which are hard to find on Amazon, easy to find on the seller's website but not easy to order. It's worth the effort of figuring out how to place the order though, as this mug keeps tea hot for a good couple of hours, and even longer if left in a sunny car. I have tried a variety of different travel mugs of similar size and this one is by far the best for not retaining the flavor of the previous cup of tea thanks to its metal instead of plastic interior. Additionally it is better designed, fitting nicely in the car cup-holder and having a flat lid that doesn't poke your nose every time you take a sip, and allows you to close the hole in the lid by sliding the cover with your teeth so you don't have to take both hands off the wheel while driving. The only minor quibble is that the sliding cover is a little hard to clean underneath - this is not a problem for black or fruit teas, but if you take milk, a gunge can build up once in a while. Timolino addressed this problem in their version 2.0 mug by making the cover un-clippable for easier washing, but unfortunately also modified the rest of the lid so that now it has a big lip like other mugs, making it hard to sip, and also added more weight to the top of the mug with unnecessary extra plastic and a thicker handle. The best would be to revert to this version 1.0 mug and just make the sliding cover un-clippable.",Best travel mug ever,1264204800,{'Color:': ' Red'},
5,5.0,True,"09 20, 2009",AV24U7RX2TX2X,0681795107,Eden A. Millecchi,"This is hands down the best travel mug I have used. It goes with me every day and is a joy to use while driving. The caps seals tightly to the cup, the clip covering the opening slides easily and the handle is just the right angle for tipping to drink. It requires the absolute minimal distraction from my attention to the road.

I only wish it was dishwasher safe, but none of the others I've tried were either, so I've given up on that. Also the clip in the lid is removeable so you can clean any coffee residue out from under it. I don't think replacement clips are available for sale, but that would be the only other improvement I can think of.",this mug rocks,1253404800,,
5,,True,"10 10, 2014",A2UQSEHHIUKYXS,0681795107,pal,Great coffee mug.,Five Stars,1412899200,{'Color:': ' Black'},
3,,True,"07 28, 2014",A1CQEO4BCUNTNW,0681795107,Uncle Al Everyone&#039;s Pal,"CAN'T BEP[UT IN DISHWASHER  LEAKS WHEN IT FALLS FROM VERTICAL TO HORIZONTAL
POSITION.  ONLY KEEPS OPTIMAL TEMPERATURE FOR LESS THAN FIFTEEN MINUTES
SHODDY CHINESE FABRICATION.  RELIED ON ADVICE FROM AMERICAN TEST KITCHEN
THEY SURE WERE WRONG OR I HAVE THE WRONG UNIT.",CAN'T BEP[UT IN DISHWASHER LEAKS WHEN IT FALLS FROM VERTICAL ...,1406505600,{'Color:': ' Brushed Stainless'},
4,,True,"06 11, 2014",A3MQNM6NOG0HCX,0681795107,Dave,Been using this model of insulated mugs for years. It's a tank that can be dropped and be no worse for wear. Meets my needs but wish it would keep coffee hot longer that 45 minutes.,Works for me,1402444800,{'Color:': ' Black'},
5,,True,"04 1, 2014",A1Q99NP69KSR2Q,0681795107,Carole C. Mayo,"This mug is a great size, keeps chai tea hot and is a good investment.  Great gift, which I have provided for others.",Great mug,1396310400,{'Color:': ' Brushed Stainless'},
5,,True,"01 22, 2014",A3MCTN65BU7XRA,0681795107,luckyg,So much better than plastic mug types--keeps coffee warm and doesn't stain. We bought it because Cook's Country rated it tops.,Recommend,1390348800,{'Color:': ' Brushed Stainless'},
1,,True,"10 30, 2013",A7JVZFSXVY9RL,0681795107,Nickleen,"I like my coffee hot; borderline scorching but drinkable.  About 10 years ago I purchased several Avantro coffee mugs that are very similar to these.  Those have been able to keep my coffee at my preferred drinking temperature for well over 4 hours even on the coldest of days.  I work outside so hot coffee is crucial in these nasty New England winters.
Well, day one with this new mug and I am quite disappointed.  This mug barely kept my coffee warm for an hour.  That is quite unacceptable seeing as how this company is the one that bought out Avantro.",Not keeping coffee hot for long enough,1383091200,{'Color:': ' Brushed Stainless'},
1,,True,"09 20, 2013",A2RQ7VLAK1SHPU,0681795107,Lacemaker427,"This mug does only a fair job of keeping coffee hot.  It will absolutely NOT protect your shirt, pants, carseat, or anything else from spills and drips!  The lid does help to keep the coffee hot in that without the lid it is exposed to the air.  That slight benefit and it's attractive appearance are the only advantages I found.  If you have NO concern about leaking/dripping, this mug is sufficient, however, the Contigo Autoseal West Loop is a much better product, and for essentially the same price.  I have returned my Timolino PABLO-46GREmug and purchased 2 Contigo Autoseal West Loop thermal mugs in 2 of the many colors available (I like lilac & gunmetal).  This Timolino thermal mug, in my opinion, should cost only $10 due to it propensity to leak!",Leaks like a waterfall when at an angle!,1379635200,{'Color:': ' Red'},
4,,True,"08 3, 2013",A2Y7ABSQZXPSJS,0681795107,Mandy Bergman,"Comfortable to use for with temperature beverage and fits in all my car's tiny cup holders without tipping. Not dishwashing, though. Handwash only.",really like,1375488000,{'Color:': ' Red'},
5,,True,"05 17, 2013",A1ACIEJU98KF3F,0681795107,Josh Dix,"This cup worked well. It is not entirely leak proof but was a good office cup especially if you were like me and drank your coffee within an hour or so. Simple stainless and worked.

I think someone stole mine to be honest I don't know where it took off to.",This cup,1368748800,{'Color:': ' Brushed Stainless'},
3,3.0,True,"05 17, 2013",A3LBVWKEMTISND,0681795107,Hugh Stratford,"This cup keeps your drink cold or hot and fits the holder in my car, only down side is if it falls over it leaks and at 89 I am good at knocking any cup over.",Drink up,1368748800,{'Color:': ' Red'},
4,,True,"03 22, 2013",A1CV69KIB30WW3,0681795107,PhilaSanctuary,"right size, attractive, keeps it hot, fairly easy to clean though it has that little hole on the bottom that travel mugs always have allowing small amount of water to leak back into the cup. Saw it recommnended on American Test Kitchen, otherwise would not have purchased it.","right size, keeps it hot",1363910400,{'Color:': ' Red'},
4,,True,"03 20, 2013",A3RMC04VRINS4W,0681795107,cindy francis,"Have not used it often enough, but does what it is supposed to do, ie, keeps drinks hot AND does NOT leak. I am looking forward to giving these as gifts next Christmas",Dependable,1363737600,{'Color:': ' Brushed Stainless'},
3,,True,"02 26, 2013",A9IWX56NDNJKS,0681795107,Patricia Hanley,"Convenient shape, good handle; but doesn't hold temperature as long as I would like on a long trip.  Good for short commute or errands around town.  Fits cupholder well.",Timolino PAB-46GRE travel mug,1361836800,{'Color:': ' Red'},
5,4.0,True,"01 21, 2013",AVE60P73ELI2P,0681795107,danielc74,"LOVE these cups! My husband has hand one for 10 years and it's still going strong. This particular purchase was so he'd have a cleaner, newer one. The only thing we suggest is hand washing. After it's been washed in the dishwasher it leaks water like crazy from the bottom.",Travel Mug,1358726400,{'Color:': ' Brushed Stainless'},
3,4.0,True,"12 25, 2012",ADNDEQWSAIOSX,0681795107,shopper 5757,"Convenient with a handle on the mug, keeps my coffee hot/warm for 2 -3 hrs, easy to wash and clean the lid -- these are expected from reading reviews.
But it leaks from the lid while walking with it in my hand -- major inconvenient.  Also, the mug feels hot when the coffee is hot.",It leaks from the lid,1356393600,{'Color:': ' Brushed Stainless'},
5,,True,"04 6, 2012",AO84V2TFRX9OB,0681795107,Meddybempster,"These mugs do what they are designed to do, i.e., keep liquids hot or cold for hours, don't leak, easy to clean and attractive to look at.  But, do not put them in the dishwasher as they lose their magic!",Keeps your drinks hot or cold for hours,1333670400,{'Color:': ' Brushed Stainless'},
4,,True,"11 25, 2011",A1SLSU5VAOYTH0,0681795107,Scott Pelton,"Like that this cup is stainless inside and out (which is why I bought it).  But the price is a little high.  Not lid is not leak proof but does a decent job of keeping the liquid inside.  Other than that, your basic mug.","Descent, but a little high priced",1322179200,{'Color:': ' Brushed Stainless'},
5,,True,"11 20, 2011",A2E6AHFDJ3JBAZ,0681795107,robosolo,"I purchased two of these cups for camping but I like them so much I use one daily. Unlike other thermos-type cups, this one actually keeps the beverage hot for quite some time, especially if you place the cap on it. The cap itself is really unique in the way it works. After filling with a hot liquid the cap fits rather loosely in place. But, after a few seconds heat expands it and it wedges itself in place very securely. You can still pry it off but not easily when it's hot which is just what you'd want. Also, that cap has a neat little sliding anti-splash tab on the top that actually works.
The cup is wide enough to be stable sitting on a flat surface - with or without liquid in it - yet fits easily into a car tray cup holder for travel.
After using the cup for a few days I decided that I didn't want the nylon handle. I simply used a heat gun (on low) to gently heat it up and just pulled it down and off of the cup.
That handle is secured to the cup with some glue and a slight ridge running around its inner circumference. It was easy to clean off the remaining glue from the stainless steel and I could - if I wanted to - re-glue and reattach the handle.
This is a great insulated stainless steel cup with or without a handle and well worth the price.",Insulated stainless steel cup that actually works,1321747200,{'Color:': ' Brushed Stainless'},
4,,True,"11 12, 2011",A22JPQM47XD7Q8,0681795107,Gashauler,"Overall it is a nice mug. it is easy to use and comfortable to hold. I wish it had better insulation. If you are looking for your coffee to stay hot for a long time, this mug is NOT for you. If you want a nice mug for short trips, this mug is perfect.",Nice mug,1321056000,{'Color:': ' Black'},
5,,True,"11 26, 2010",A1Q7OYGRG2BK84,0681795107,R. Morrison,"I love this mug. It cleans easily and keeps drinks hot. The red is REALLY red; I might have chosen another color, but it's a great mug.",red mug,1290729600,{'Color:': ' Red'},
1,6.0,False,"05 19, 2007",A1TMCLGUVV7F39,0752873016,TheScientist,"I was surprised when I finished reading this book and I asked myself ""is this the end of the series?"". This book completely lacked the story and the humor and wit associated with other Asterix series. A. Udeerzo tried something new with mix of flying saucers and UFO's, robots, super clones which can fly, galactic council similiar to ones in Star Wars and all important the magic potion of the Gauls but to the dismay did not make a good story. It looked like everytihing 'just fell out of the book'.",This book is not sky high,1179532800,{'Format:': ' Paperback'},
2,3.0,False,"05 11, 2007",A2EDZH51XHFA9B,0752873016,Robert Beveridge,"Albert Uderzo, Asterix and the Falling Sky (Dargaud, 2005)

I'm not terribly sure what Uderzo was smoking when he came up with this one, but as a tribute to Walt Disney, he has the indomitable Gaulish village invaded by... space aliens? Yes, you heard that right. You can expect some of the punning, but nothing else that's made the series so much fun over the years is to be found here. The worst book in the series to date. **",Just plain bad.,1178841600,{'Format:': ' Paperback'},
1,19.0,True,"02 2, 2007",AK690YP01HENW,0752873016,aroyc,"Rene Goscinny was the storyteller for the original Asterix series, while Albert Uderzo was the illustrator. Since Goscinny's demise, Uderzo has taken on both the tasks himself. Unfortunately, Uderzo's storytelling leaves much to be desired. The result is that in the latest installments of Asterix' adventures, including ""Asterix and the Falling Sky"", the illustrations are as good as they used to be, but the actual story has suffered heavily. The plots are nowhere close to what Goscinny could conjure up; most missed is the subtle, sly humor that made Asterix so enjoyable to me and my friends growing up.

Nevertheless, this is still Asterix, and I almost enjoyed reading the Falling Sky. It is actually better, in my opinion, than ""Asterix and the Secret Weapon"" - another all-Uderzo affair. Normally I would have given it 3 or 4 stars.

However, I was dismayed by what I figured out to be thinly-veiled disparagement of certain ethnicities in the Falling Sky adventure. The bad alien in here has the complexion and facial features very similar to people from some Oriental ethnicities, and there is dialogue about how they are jealous of the good aliens (represented by popular Disney characters, with a name that is an anagram of ""Walt Disney"" .. you figure out which society is being referred to here), and how the bad aliens try to steal the ideas and technologies of the good aliens.

Normally I don't read too much into such things, but taken together, this is impossible to ignore or wave off as mere coincidence (I am still hoping that I am wrong here). Racial/ethnic stereotyping is never acceptable, but when it creeps into an adventure of a much-beloved comic hero, especially when the adventure is written in the 21st century, it is simply reprehensible. I am deeply disappointed, and forced to give it a single star.","Missing the wit and charm of the old Asterix series; instead, this one has racist undertones",1170374400,{'Format:': ' Paperback'},
3,25.0,True,"12 13, 2006",A1JZLZGQZ62RSO,0752873016,Thomas Wikman,"Spaceships, super clones, a nice tellytubby looking space alien and a bad grasshopper looking space alien, and above all a mediocre story line. What is next? Asterix and Obelix travel in time to New York, or Roman Soldiers in Space? This was not a typical Asterix. Old Asterix lovers like me and the previous reviewers will not enjoy this one. People new to Asterix and Obelix should not buy it either, since this is not what Asterix is about.

On the other hand, I asked my nine year old what he thought of it. He liked the fact that Uderzo introduced some space ships and aliens into the story. He thought it was ""different, and creative"". He liked it as much as he liked all the other ones. He has already read it several times.

Thinking about it, he actually has a point. Children see it differently, many of them like this stuff. Monsters, science fiction, fighting clones, if you were nine years old maybe you would like it too. So to give the new generation a voice I gave it three stars. In the end I don't regret buying it.",Asterix of the future?,1165968000,{'Format:': ' Paperback'},
2,,False,"11 17, 2006",A207IYGZTAF0DS,0752873016,NoWireHangers,"This certainly is an odd entry in the Asterix saga. Perhaps Uderzo is running out of ideas, since he needed to introduce aliens. The story is only mildly interesting although it has its moments, but at no point does it reach the same level as the old adventures. The art is great as always though.

I wish I could give it 2,5 stars, but since that's not possible I give it two stars. While most of the Asterix adventures deserve 5 stars and are always great fun for both kids and adults, this one probably appeals more to kids. They're usually great adventures full of humour. This one is neither. I still don't think it's as awful as most reviewers seems to think. It's good enough to kill some time with, but that's all. Asterix fans might want to check it out but don't have too high expectations. If Albert Udernzo would happen to read this, please, put some heart into the story next time, and if you can't come up with a better story than this, please hire a writer.",This Asterix album will appeal mostly to children.,1163721600,{'Format:': ' Paperback'},
1,22.0,False,"11 1, 2006",A1EF9XSZSNUCMY,0752873016,JM,"I agree with everything written by previews reviewers. This is the worst Asterix book by far. I know it's the only one I will never have a desire to read again. The story is ... well, there really isn't much of a story here. Asterix and the villagers are secondary characters at best -- just there in the background.

It's sad because the series is, without any exaggeration, the best ""children's"" book series ever. Even the books after Goscinny's death (post Asterix in Belgium) were fairly good and had some redeeming parts to them. This one, however, truly has no redeeming qualities. Uderzo is a wonderful cartoonist but Asterix has always been about much more than just pretty pictures.

I'd say, do yourselves a favor and buy all the other Asterix books, particulary the ones written by Goscinny (and if you already have them, re-read them; I've re-read them a million times, they're that good). Take a pass on Asterix and the Falling Star; it'll just depress you.",The end of Asterix ...,1162339200,{'Format:': ' Paperback'},
1,15.0,False,"07 30, 2006",A8FJ46175HC7W,0752873016,Macky T,"I have been a MASSIVE asterix fan since childhood. When I heard of a new book in the works I was excited by the prospect of another Asterix book. Perhaps the last too! I hoped that the new comic book would prove better than the last, Asterix and the Actress, a mediocre attempt to recycle some classic Asterix characters while adding an unnecessary family element to it. Judging by the cover of Falling Sky I anticipated it would be a really good read. I was so WRONG!

First of all the main characters are just bystanders in the story, watching good Disney-like alien creatures battle bad Anime-style ones. There is no plot to the story. All this book does is reflect Albert Uderzo's animation prejudices and his obvious antagonism towards Japanimation.

This book does not compare to any of the Asterix classics that have brought joy to many. Books like Asterix and Cleopatra and Asterix and the Laurel Wreath are great in so many levels. Even some of Albert Uderzo's solo Asterix works, although not as good as the ones done with Goscinny, were really good.

If you are a newcomer to the world of Asterix, DO NOT start with this book, and if you're a lifelong fan like me, DO NOT ruin the image of Asterix by reading this!",SORELY DISAPPOINTED!,1154217600,{'Format:': ' Paperback'},
1,6.0,False,"04 28, 2006",A1G9FX1KV45N41,0752873016,Gary Selikow,"Having grown up with Asterix , I must agree with the other reviewers that Asterix and the Falling Sky is an abysmal offering. It is nothing like the Asterix we have grown up with and loved through the years.
It has no story , no historic or classic allusions that characterize Asterix albums , no real wit , and full of things that are out of place in Asterix.
A few years ago , while reviewing Asterix and Obelix All at Sea , I wrote that the time was coming for Uderzo to lay down his pen. This one proves me right , even though Uderzo had produced some excellent Asterix albums on his own such as Asterix and the Black Gold and Asterix and the Flying Carpet.
I simply cannot see anything worthwhile in the Falling Sky.",Who wrote this?,1146182400,{'Format:': ' Paperback'},
1,8.0,False,"11 3, 2005",A3JBV5WXXGC22I,0752873016,Nethegauner,"I have one simple advice for You: DO NOT BUY. I'm wrecking my brain, but I can't even begin to imagine why Albert Uderzo put THIS on the market. I was utterly disappointed.

Asterix fighting aliens? ALIENS? AND CLONED SUPERMEN? Oh, come on. This is ridiculous...

You want Asterix? Fine. Go ahead and read one of his classic adventures. You are interested in European comics? Great! Buy Tintin. Enjoy Lucky Luke. Have fun with the Smurfs. Look for a copy of Karl -- but stay away from the falling sky. It seems to have fallen right on its creator's head...

It's like I wrote in my review for the original French edition of this latest installment in the Asterix series: This is no longer the Asterix we have come to known over the past few decades. This is something... weired!","Asterix? No, it is not...",1130976000,{'Format:': ' Hardcover'},
2,2.0,False,"11 2, 2005",A3B0YNN6NFH18D,0752873016,Amazon Customer,"I'm an adult Asterix fan and I have been reading Asterix albums since I was 9 years old so I think I know a little about how Asterix albums 'should be' (or at least 'how they used to be'). I expected this new Asterix album with so much impatience but when it was published I couldn't get it inmediately. I read on forums that this new Asterix album was the worse album in the collection so when I got it some days ago I have mixed feelings. I knowed I'll find Asterix talking with extraterrestrial people (and even I know that some personages look like Arnold S.), that some characters represent US comics and other represents Manga comics, and many other things about it but still I wanted to read it by myself thinking that 'maybe it's not so bad'. Well, it wasn't. Although I also think it's the worse Asterix album, it's not so bad. It certainly isn't an Asterix album for its adult fans, but I think children from 0 to 7 years old will really enjoy it, because Uderzo once again has given us a beautiful art work, and also it has a lot of enormous drawings in order to impress the children readers.

The story has this line: some extraterrestrial people (that looks like US comic) arrive at the gaulish town in order to confiscate their 'secret weapon', then some things happen and another extrarrestial race (that looks like manga comic) arrive at the town in order to steal that 'secret weapon' (they're the 'bads'). Other things happen and then the bads left the Earth. Then the last 10 pages are filled with garbage but with beautiful drawings. Then it finish.

I think Uderzo's Asterix scripts are not so good as Goscinnny's ones, and that Uderzo has created stories that are much more fantastic than Goscinny's ones but still they deserve respect. Maybe we will never have another Asterix album like the better ones, where old history plays an important role and the stories are more intelligent, produced and interesting, but after all, I think it's better to have new albumes than not to have more.",Not good for adult Asterix fans,1130889600,{'Format:': ' Hardcover'},
5,,True,"11 28, 2013",A23Q738B8RL36P,0752873016,paulusmc,Glad you had this in stock and always a big fan of Asterix & obelix in there adventures in life.  just story read and view.,a big fan,1385596800,{'Format:': ' Paperback'},
2,,False,"07 13, 2013",A2SYCKV9A2SE0F,0752873016,Abhinav Agarwal,"Spaceships, aliens, an unfunny tribute to Walt Disney, flat punchlines - or should they be called flabby punchlines? While some of the earlier Asterix comics had been disappointing, like ""All at Sea"" and ""The Class Act"", this latest one has truly plumbed the depths. While one could arguably laud the author for trying out something new with the series - aliens and spaceships, the near-complete absence of a plot condemns the comic to a slow and embarrassingly painful demise. If you are new to the Asterix series, read ""Asterix and Caesar's Gift"" (#21) and any of the ones before that. In fact, ""Asterix and The Soothsayer"" (#19), ""The Mansion of the Gods"" (#17), ""Asterix and the Laurel Wreath"" (#18), ""Asterix in Switzerland"" (#16)... are among the very best in the series - the plot, story, dialogues, jokes, the running gags, and the richly illustrated panels.","Yes, the sky indeed has fallen.",1373673600,{'Format:': ' Paperback'},
5,,False,"06 5, 2012",AU35ONCXASKXZ,0752873016,Susana Brand,got this for my son for xmas . he really enjoys reading it. and im glad he likes it too. its easy reading. great thing to buy if your wanting to encourage reading more.,book,1338854400,{'Format:': ' Paperback'},
3,,False,"04 15, 2012",A2NH4D9NIP0Q94,0752873016,Sheetal Bahl,"I'm going to be a little more generous that most of the reviews on this book, because while this book is really different, and not entirely pleasantly so, from the entire series before it, it's still a readable Asterix. The book has all the characters we love, a lot of the familiar situations, and the witty comments and repartees (though these aren't of the same quality as the other books). It is a little disconcerting to watch spaceships and ETs in an Asterix book, but it's just that - disconcerting, and no more. It's not a terrible idea, or terrible treatment - I think it's just the loyalty to the old Asterix that makes us cringe. But if you can get past that knee-jerk reaction, the book is ok.

I would not recommend this book for early Asterix readers i.e. folks reading their first few Asterix books, and maybe not even for die-hard loyalists (like me) who have read most of the books unless they are open to a dramatic change. It's probably best for casual, occasional readers of Asterix.","Disappointing, but still an Asterix",1334448000,{'Format:': ' Paperback'},
1,5.0,False,"04 2, 2011",A1NBEOXW7SYOFT,0752873016,Bidencope,"Awful. Just awful. Albert Uderzo penned some decent Asterix adventures following the death of his long-time collaborator, Rene Goscinny, but the quality of his stories ultimately started to go into decline. This painful process hits rock bottom with this mess of an album.

Uderzo took the faintest inkling of an idea and stretched it out into 44 thinly-spread pages of nothing. Well, almost nothing; there's a perfunctory political allegory intermingled with Uderzo's reactionary attitudes towards manga, but it all amounts to very little. The emaciated story peters out around about page 35, floundering pathetically for the rest of the book.

This story had the potential to be a worthwhile inclusion to Asterix's fine legacy, in a ""that's crazy enough to work!"" sort of way. Unfortunately, it has become evident that Albert Uderzo ran out of ideas long ago.",The nadir of Asterix,1301702400,{'Format:': ' Paperback'},
2,3.0,False,"01 22, 2011",A3R8PXSFGY9MC2,0752873016,Spider Monkey,"I am sad to say that `Asterix and the Falling Sky' is a huge disappointment and as a fan of the series I hate starting a review in this way. It isn't so much that this looks at space creatures visiting the village, which is a huge departure from the Roman era stories we are used to, but it is that this book has none of the charm or humour that the series is renowned for. I was eagerly expecting the tongue in cheek remarks and puns so beloved by fans of Asterix and instead we are offered tired jokes that play on past glory rather than anything new moving the books on. The story is sadly unoriginal, with yet another group of `baddies' after the magic potion, the only deviation from this plot line is that they come from outer space. This is written in tribute to Walt Disney and in fact the space character looks a great deal like a Disney character (look at the gloves to see what I mean!) and his name is an anagram of Walt Disney. This may be admirable but detracts from the authenticity of the Asterix franchise. If you like the series then there will be something here for you to enjoy, the art work is as great as ever for example, but you may also be left disappointed and will have to reread a past book to remind yourself just why you loved these books so much. This is one for avid collectors, but if this is your first foray into the series then I recommend you try other books initially before you work your way to this one.

Feel free to check out my blog which can be found on my profile page.",Asterix and the Falling Sky,1295654400,{'Format:': ' Paperback'},
3,,False,"11 13, 2008",A1LB3XRER68NND,0752873016,Roberto Roca,"...pero el resultado final no es a lo que nos tienen acostumbrados Asterix y sus amigos.
De todas formas, considero que vale la pena leerlo, y por supuesto comprarlo, si uno se considera un fan de la serie.",Tal vez la intencion fue buena...,1226534400,{'Format:': ' Paperback'},
1,13.0,False,"06 3, 2008",A19ZFQAGZTLOPD,0752873016,Marco Ferraro,"Since Goscinny's death the asterix stories have been on a slow decline. But this one is really really god awful.
In short 2 seperate alien races come to earth to attain the magic potion for themselves. Eventually they find out it won't work on their physiologies and they leave. Thats it.
None of the usual character interplay and in fact we hardly see any of the characters at all. I didn't even get most of the puns.
Maybe Uderzo should just give it away.","please, no more",1212451200,{'Format:': ' Paperback'},
1,11.0,False,"05 25, 2008",AT12C3M9O2EUY,0752873016,Keen Bean,"Aliens visit the little Gaulish village we know so well - ? - HUH? - Aliens? What's wrong with the Romans? The classical jokes, the motifs that make reading Asterix magic, the way it works at multiple levels so I enjoy it on one level, my 9yo on another and my 6yo on yet another? All missing.

This book lacks the character, wit, humour and charm of the earlier books. It is completely out of character with them, and I'm really disappointed to see a great series stoop to this level. Even my children say they don't like it.

The icing on the cake is that the pages are falling out of my copy after only a few days. Normally I'd exchange the book and get another one, but this one can just go straight to the recycling.

At the end, the alien ""fixes it"", to quote, ""for the Gauls to remember nothing about me, thus obliterating all traces of this grotesque adventure!"". I wish, I wish...",If you love Asterix - don't read this,1211673600,{'Format:': ' Paperback'},
3,,True,"07 30, 2007",A37VA45R86I9T1,0752873016,Mary S. Chingwa,"This one is OK but not up to early standards.  The series, as a whole, is losing its edge.  They are less and less witty than the earlier books.  I think I'll just pass them up in the future.",Wit is falling,1185753600,{'Format:': ' Paperback'},
4,4.0,True,"02 15, 2012",A345HVYNQJUGQM,0768205921,JenJen,"This is a great learning tool for teaching children how to tell time. The numbers are printed clearly and easy to read, including the seconds. The hands are easy to move. There is a piece on the back that can be used to prop up the clock, and the piece can pop off easily. It is easy to put back on though. I also ordered the ""Telling Time with the Judy Clock"" workbook. The little booklet that comes with the Judy clock has a lot of the same pages as the workbook, but it's a lot smaller. The ""Telling Time"" workbook gives children a lot more practice with learning to tell time.",Great learning tool,1329264000,,
5,2.0,True,"12 8, 2011",A3S33CZAH5JNWV,0768205921,Rachelle Mortensen,"This has been so valuable in teaching my children to tell time.  It's fun, accurate, and educational.  I highly recommend it.",Wonderful learning tool,1323302400,,
5,7.0,True,"06 16, 2011",A24NRZ0QHDM9PY,0768205921,Amazon Customer,"I have been extremely pleased with my purchase of the mini Judy clock for my 5 1/2 year old son.  He had already been very interested in telling time with a digital clock so I figured we would try introducing telling time concepts with a real clock face.  I chose this particular clock versus all the other ""toys"" that teach time because I remembered learning how to tell time on a big Judy clock when I was young.  I wasn't too keen on buying the big full size Judy clock for one-on-one teaching so the mini size was the perfect solution for at-home use.  I also purchased the Rock'N Learn Telling Time DVD to reinforce what we are working on and my son loves having his own clock to follow along with the songs.  Granted, every child will learn at a different pace, but my son picked up the concepts quickly thanks to playing with the Judy clock and is now able to tell time to the nearest minute after just a few weeks.",Fantastic Clock to Teach Your Child to Tell Time,1308182400,,
