,author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
14,lapeml,Great service,"The service was a bit iffy and all the staff wanted to do was prepare the restaurant for breakfast so the were hurrying the few patrons they had. The meal itself was pretty good, with Italian cold cuts to start and we both had chicken...main courses. Generally a good meal but not cheap given its location but spoilt by waiters in a hurryMore",5,01/09/2017,4,1415 Steakhouse Seafood Restaurant
15,Andrew P,Big Birthday Bash,"Visited on a Sunday with my family. I should have taken the emptiness of the restaurant as a sign but still we proceeded thinking perhaps we will get even better service and yummy Italian food. 

I had been looking forward to trying it as it...is in a very popular hotel and that comes with hotel prices so I decided to go with family and let them pay! Haha. I had minestrone soup for starters and lasagne for my main (I had been looking forward to a scrumptious meal). We pretty much had hot tasteless water as minestrone (super disappointed) and I had a burnt slice of lasagne which was tasty but it had burnt edges like it has been left a bit too long in a microwave. The food took a while to come out from the kitchen and we wondered why as we were the only 3 in the restaurant. Smh. It was NOT worth the money or the time. 

Perhaps other people have had better luck or we went on an ""off"" day, ah well..... Never again. Moving on.

P.S. the 2 star rating is for the decor! I loved the light fixtures!More",5,01/09/2017,4,1415 Steakhouse Seafood Restaurant
16,Jos en Nico v,Not really impressed,"We were not really impressed with our dinner on Thursday evening. When ordering, we were told that certain dishes were not available, needing change our first choice.  After ordering, the waitress came back, telling that there were no prawns either. I settled for calamari only...More",4,01/08/2017,4,1415 Steakhouse Seafood Restaurant
17,Ochonogorgabriel,Perfect....,"I love everything about this restaurant.

The hotel manager at Eko signature is a legend.

I rate this Restaurant 10/10 .

Keep up the good work Mr.Liguori.",4.5,01/01/2017,4,1415 Steakhouse Seafood Restaurant
18,arnoudm397,"Nice, good choice, not to expensive","Good dishes, great service. It remains a hotel (EKO Signature) restaurant, so it lacks a bit atmophere. But for Lagos, a good night out and for EKO hotel guests: definately beter then other restaurants and just a bit more expensive",4.5,01/11/2016,4,1415 Steakhouse Seafood Restaurant
19,anoziae,Back for more excellence.,"So, last night, my friend and I thought of checking out 'Taste of Italy' weekly Tuesday event again. Again, I loved and appreciated the experience. We were encouraged (we needed very little encouragement!) to sample a variety of appetizers, we ordered the hot antipasti assortment,...More",4,01/11/2016,4,1415 Steakhouse Seafood Restaurant
20,ActonDave,"No, no, no. A disaster","Business dinner in the Italian restaurant in Eko Signature - this is a never to be repeated experience. 

Positives: 
lovely helpful staff, charming pasta chef (genuine Italian), pasta tasty, pleasant environment 

Negatives: 
Beef, requested medium rare and received a burnt-offering that was over-cooked, dry, beyond...More",4,01/10/2016,4,1415 Steakhouse Seafood Restaurant
21,Chioma U,Birthday Dinner,"Truly a wonderful experience! Right from planning to execution. The food was delicious and I was able to tweak the menu to suit the needs of my guests. Haven't had such good Italian food in a while.
I also have to give it to the...More",3,01/09/2016,4,1415 Steakhouse Seafood Restaurant
22,anoziae,Magnifico!,"By far the most enjoyable dining out experience I have had in Lagos. It was absolutely fabulous! The food quality was excellent, the taste was out of this world - I never knew Italian food could taste so healthy, refined and refreshing. Fabulous service and...More",5,01/09/2016,4,1415 Steakhouse Seafood Restaurant
23,iyoboi,Great Italian food,"We went to 1415 for a night out. It's located inside Eko hotel in the building that houses the Eko Signature hotel. It's really a lovely Resturant. On Fridays they have a live band (band is great, singer is just OK) and offer a limited...More",4,01/07/2016,4,1415 Steakhouse Seafood Restaurant
24,Enmarcha09,Consistently excellent experience,"One thing I must commend is the excellent management and wait staff at 1415. It never ceases to amaze me the attention to detail and extent to which they go over and beyond to ensure all needs are met.
It is the ideal spot for...More",5,01/05/2016,4,1415 Steakhouse Seafood Restaurant
25,Motunrayo A,Great food and excellent service!,"I love this place! Great ambience, great food- we had steak and pasta dishes and our waiter, Abayomi was excellent. Will definitely go back!",1,01/05/2016,4,1415 Steakhouse Seafood Restaurant
26,Ojini O,The Amazing Mr Giocchino and his team,"The Manager- Mr Giocchino is utterly out of this world. My sister and I were trying to plan our mother's surprise 60th birthday and he blew our minds away. The set up was perfect, the food amazing, the drinks- mom doesn't take alcohol so he...More",5,01/05/2016,4,1415 Steakhouse Seafood Restaurant
27,TukeMorgan,Top Notch Service,So I went to 1415 with some friends last year as one of them came from Tanzania and was craving Italian food. It's a very posh and sophisticated place with well trained waiters. The food was delicious and the portions were very filling too. For...More,5,01/03/2015,4,1415 Steakhouse Seafood Restaurant
28,Valleyman65,"Best venue, great food but...",....but the espresso was not at the same level! We came back here for the second time and again I have to say that is the best food in V.I. They have a new menu with some interesting recipes. I had the smoked salmon trunk...More,4,01/12/2015,4,1415 Steakhouse Seafood Restaurant
29,tom131187,Fantastic Dinner,"Loved this place. The food is mainly Italian and was really delicous, even the bread that we started with was fantastic. I had a seafood risotto for a main and a white chocolate set thing with Mint sauce on it for dessert, both were very...More",5,01/10/2015,4,1415 Steakhouse Seafood Restaurant
30,4Abade,Good food  and service,"Been to this restaurant 3 times and each time had a good quality meal. Whist the restaurant is lacking in ambience , the service is good and the menu is varied enough to be interesting .",4,01/10/2015,4,1415 Steakhouse Seafood Restaurant
31,Amethyst234,Excellent!,"It was a great experience. A lot on the pricey side (this is Lagos and everything is ridiculously overpriced) but the meals and dessert were great. Knowing that the appetizers are usually small and therefore not good value for money, my husband and I skipped...More",4,01/05/2015,4,1415 Steakhouse Seafood Restaurant
32,Valleyman65,Best in Lagos!!!,"A real italian food experience! Nice menù, large portions, wonderful presentation and very good food! We couldn't ask more. All the staff
is very kind and feel you be at home. Just a little bit too expensive. We will come back again.",4.5,01/08/2015,4,1415 Steakhouse Seafood Restaurant
33,TeddyWiniz,My Xperience at Eko hotel Lagos,"My experience in Eko hotel was awesome,the welcoming was homely,their lovely smile is killing it always make me feel comfortable and loved one of my Fav.is  Abayomi.",4.5,01/06/2015,4,1415 Steakhouse Seafood Restaurant
34,faridah551,Excellent Service!,"I was extremely impressed by the level of service we received at 1415 last Friday. The prawn and calamari starter was great, the bread was delicious, the main meal was good, but the ambience, attention to detail and level of service was outstanding. This is...More",4,01/06/2015,4,1415 Steakhouse Seafood Restaurant
35,taisquirico,"Nice meal, great people!","The manager was really gentle to suggest a dish off the menu and he brought my dinner himself! The pasta was delicious and not spicy, as I asked. The waiters were very kind to me, asking at all times if I enjoyed the food! Nice...More",4,01/06/2015,4,1415 Steakhouse Seafood Restaurant
36,LIHappy,The only decent place in Lagos to have a proper meal,"We were very impressed with the ambiance and food quality. Good and enough options in the menu, still, would be amazing if they can include a Carpaccio di Manzo. Restaurant manager is friendly and knows his job, waiters and waitresses are properly trained, groomed and...More",5,01/03/2015,4,1415 Steakhouse Seafood Restaurant
37,T-Africa2000,"Decent food, ok venue","The food here is pretty good, authentic Italian with a friendly chef from Italy. I had the blue cheese pasta which was nice, maybe a little bitter. The caprese salad was very good, excellent mozzarella and a good pesto sauce. Inside the Eko Signature Hotel,...More",5,01/01/2015,4,1415 Steakhouse Seafood Restaurant
38,asianink,"""Gio and staff go above and beyond""","I've hosted several luncheons since my last review here on TripAdvisor. ""Gio"" (Mr.Gioacchino Liguori) has consistently made sure that every gathering I host is perfect.

HOWEVER last night, he and his staff went above and beyond, anything I would of expected. I invited several friends...More",5,01/12/2014,4,1415 Steakhouse Seafood Restaurant
39,ebiatawodi,Finally True Fine Dining,"Finding a restaurant that offers a true fine dining experience in Lagos is hard. Finding one with impeccable food is even harder. But for the likes of Villa Medici, Izanagi and the Eko Sky Lounge, you will be hard pressed to find anything else in...More",5,01/10/2014,4,1415 Steakhouse Seafood Restaurant
40,Cristopher M,"Great Service, Food and Ambiance!!! Eko Signature is the place to be with family and friends.","Hello, three nights ago I was guest in Eko Signature. For our very first time.
We did stop first in the lounge for a nice drink, the Bartender Mike did recommend the Mojito’s and it was amazing. The Bartender very nice, polite and helpful. After...More",4,01/10/2014,4,1415 Steakhouse Seafood Restaurant
41,asianink,A new DEGREE OF EXCELLENCE,"Today a few friends and myself had an excellent meal @ 1415 Signature Eko Hotel. The new Assistant Food and Bev manager Mr. Gioacchino Liguori, IS NOT ONLY PROFRESSIONAL, but detailed oriented and paid attention to small things that we didn't even think he would....More",4,01/09/2014,4,1415 Steakhouse Seafood Restaurant
42,ronkeke,Teething Problems,"Its a new restaurant and I don't think they have the right Chef yet.
The food was nothing to write home about.
The waiters were not attentive and some of us missed some of the dishes served.
My tea never arrived after dinner
Ambience was...More",3,01/08/2014,4,1415 Steakhouse Seafood Restaurant
43,asianink,The wine is good,"I have been waiting for 2 months for 1415 to find an Italian Chef. Finally, they put out an authentic Italian menu which looked great. We did our ""date night"" and I was so excited. The Italian white wine was very nice, pricy though but...More",4,01/06/2014,4,1415 Steakhouse Seafood Restaurant
44,Y6571FYandyc,Fantastic with a couple of minor gripes,"A first class dining experience with just one or two gripes. The service is excellent, the menu provides ample choice for all pallettes, the food quality is first class and its a very nice setting.

I have been there three times recently, with a friend,...on my own and as part of a group. On the first occasion I went on a Thursday to find that there is a live band each night from Thursday to Sunday inclusive. The volume interferes with sociable discussion so we moved upstairs to a lounge bar. The lounge bar is a very nice setting and affords a little more privacy than the main restaurant downstairs. You can still hear the band is not as intrusive as downstairs.

On my second visit, on my own, the restaurant was five minutes away from a perfect review. The music upstairs was fine and being played at a sensible volume. After I asked for the bill, one of the bar staff decided to play naija 'music' very loud. This took the edge off the experience.

On my most recent menu, the waiter taking the order either didn't hear my request for rice or forgot about it. Consequently, the curry and the bread came without the rice. I mentioned it to the manager (more about him later) and when the rice came he added an additional dish at no extra charge.

On the way out and thanked him for his gesture and told him that someone who understands that the recovery is more important than the mistake is a customer service champion. And he is... helpful, attentive, responsive and dedicated to ensuring a great customer experience.

Given the most recent experience I would suggest that the waiters repeat the order back to the customer to ensure nothing is missing.

My only other gripe us that the drinks are expensive compared to other Indian restaurants but I guess they have to pay for the setting!

Overall, a fantastic restaurant, great food, excellent service and a manager who understands customer service. Highly recommendedMore",4.5,01/11/2022,4.5,343 Degree North Restaurant and Lounge
45,Success317_248,Birthday Dinner,You all need to visit 343 degree please! Everything about the place? The meal? The workers? Going down to the customer service. Very great. I enjoyed my time there and would definitely be right back 😋💚,4,01/06/2022,4.5,343 Degree North Restaurant and Lounge
46,Tourist28246649239,Authentic with a fusion twist,"What an experience it was indeed. I guess in a place like Lagos, one doesn’t expect much when it comes to the smallest things like a smile from the hostess, or a waiter that really understands the menu. 

Today was all far past my expectations....We were welcomed by the hostess at the front door who led us to our table. 

The manager was kind enough to come over and talk us through the menu and dishes. 

The waiters was well versed with what’s popular and a must order.

The food was fantastic and presented very well. The biryani was somewhat different than that of an Indian pallet but that’s why that call it Indian Fusion. Frankly I loved it, suites my pallet just fine. 

Value for money, well you really can’t go wrong. We ate to the brim and it cost us 14k per head. What more can you ask for. 

Authentic with a fusion twist, oh yes indeed. 

A must visitMore",5,01/05/2022,4.5,343 Degree North Restaurant and Lounge
47,Olumide K,A must visit,One of the best Asian Fusion Restaurants I have visited in Lagos. They can do a lot better with the spacing because it's usually crowded. Asides that its a great place with great ambiance. I highly recommend,5,01/02/2022,4.5,343 Degree North Restaurant and Lounge
48,TukeMorgan,Do not go there,"Very disappointing experience. I came here with 4 friends to try out the MasterCard restaurant week menu. The starter was alright but the main meal (Spicy Cajun chicken pasta) was extremely tasteless. It lacked flavour and didn't look like it was freshly made. We asked...for a replacement or an alternative as we couldn't eat the dish. However, our request wasn't met, no apology was made and we left there hungry and displeased. The space is aesthetically pleasing however the service was terrible and the manager and staff didn't try to rectify the situationMore",5,01/11/2021,4.5,343 Degree North Restaurant and Lounge
49,mike192008,Pride of Lagos,"We celebrated our daughters birthday today and it will be a memorable evening.Right from the menu planning to the decoration theme was planned by the Young and entrprenal owner Ms Karishma and we had a never to forget evening.
The personalised menus were printed at...a very short nptice and the decoraters arranged.
Our event commenced with welcome drinks and folliwed with unreal smokey cocktails and never ending starters.We all loved the Twisted Asun as they call it as it had an amazing flavor mi us the typical fat after taste and the snails were to die for.
There were several other specialities like their signature rock prawns and the shanghai spring rolls.
Then the feast started with generous portions of main courses and we enjoyed the Tikka masalas to the Mongian lamb to Mock duck Schezwan to Jumbo prawn chilli and lisds of their lovely specials,not mention the breads cooked in a clay oven to their very popular Schezwan Fried Rice snd their Jolof.
They surprised us with a Birthday platter where the whole team came out to sing and dance which was amazing experience.
We sincerely thank the lady owner who personally ensured every detail was looked after and it will always be fond memories for our family.
There was a surprise after party arrangements made at the Lounge above with a Dj and we danced away till the wee hours .Places like these become landmarks for a city bravo and keep up the great job and stay consistent.❤️❤️❤️👍👍👍🥂🥂🥂More",1,01/07/2021,4.5,343 Degree North Restaurant and Lounge
50,mike192008,Best in town,"This place is conveniently tucked on Kofo Aboyami next to Hartleys supermarket and has been hyped up a lot by every one in Lagos .I have heard several of my friends being invited for birthday dinners and wanted to try out the place which we...finally did no sunday.
The place has an elaborate menu loaded with goodies we tried the lobster grill and the salt pepper calamari and the Rock Shrimps as starters and they were on point.
They had a large party on at that time and service was impeccable.
The owner was around making sure everyone was comfortable and looked after.
Finally we tried the most talked about desserts and they had a new add on which was the Belgium Chocolate Fondant which was amazing but the portion is not shareable.
Overall a wonderful experience and we shall be back soon.More",5,01/05/2021,4.5,343 Degree North Restaurant and Lounge
51,rishtravels77,Best Vibes & The Best Food in Lagos!,"The moment you walk into 343° North you feel good! It's colorful, bright and extremely aesthetically pleasing (great for the gram!) - To make things even more perfect, the food is incredible. Their Indian dishes are amazing and you never feel too heavy or bloated...after. I've tried their continental menu as well, & wow they know how to make a pasta. They also have a special pasta night every Wednesday with a glass of free rosé! I can't wait to try more things off the menu and keep going back!More",5,01/03/2021,4.5,343 Degree North Restaurant and Lounge
52,Angelbaby111333,Excellent service,"My husband, two friends and I came to lunch at 343Degree north yesterday. What a find! Cosy and friendly, good atmosphere and super food (especially the Hoisin lamb)it was very very awesome😘😘  which has gone to the top of my list for restaurant!! We will...definitely be returning- thank you to all the staff. Hope we weren’t too noisy-blame the squeaky balloons!!“ we Love you guys😘❤More",5,01/03/2021,4.5,343 Degree North Restaurant and Lounge
53,mahendrap669,Wonderful experience,"We have been waiting to see the place open since a very long time as we live in the neighborhood and we shop at Hartleys😊Finally the place is open and was a very very pleasant change for a evening out or to celebrate.
The decor...is chic and the food is just amazing its a multi cuisine restaurant with a modern cuisine extremely fair pricing and very good quality food.
We have been there twice and on both occassions the young lady who is the owner  was around to make us comfortable and recommended the days special and went out of the way to please one of our guests from dishes outside the menu.
Be it authentic Indian to Chinese to Continental and Nigerian cuisine they have excelled.
They have a lovely private dinning area which we had booked and service was extremely prompt and friendly.
They also have an exclusive lounge called Twist with Bar bites and amazing signature cocktails.
A very pleasant go to place in VI and a nust try.
Thank you guys for making our event amazing.More",5,01/03/2021,4.5,343 Degree North Restaurant and Lounge
54,G6933OSstephenc,Lawrence,"Awesome Experience In 343 Degree Restaurant & Lounge. I had been for the first time and got a really good experience than any other restaurant I visited so far. Staff is excellent and gives an epic service. I spoke to the manager for some suggestions...on food and I got the best thing which I wanted for my family. I really liked what the management said that was ""We believe In Quality Food & Service"" and no doubt the words were kept. I will recommend this place to all my known people as this is the only place I believe who provides good quality food in authentic style. Overall I will rate this place 5 out of 5.More",5,01/03/2021,4.5,343 Degree North Restaurant and Lounge
55,inyilag,Our favorite new spot,"Guys we must be your most loyal customers as you have been open for a month and we have already been there four times.
We love you grilled lobster and the succulent kebabs and the Nigerian delicacies.Your twisted Asun is seriously twisted and we love...the twist.
Keep up the good job and we look forward to our next weekend bash with you guys.
Btw we love the house DJ and we had an amazing time swaying away.😘😘More",5,01/03/2021,4.5,343 Degree North Restaurant and Lounge
56,Y6571FYandyc,A Huge Disappointment,"I visited at around 9pm on a Tuesday. The first challenge is to negotiate a worryingly steep staircase of thin stairs once thus has been achieved you find yourself in a well appointed, spacious, nicely decorated lounge. Like every other restaurant / bar / lounge...in Lagos I was also greeted with music being played at an unnecessarily loud volume. To avoid this, I noticed a side lounge where the impact of the music was lessened. This space is especially good for people who suffer from light sensitivity issues as you sit on a virtual darkness. I was given a menu and trying to read the small print in the dark proved a fruitless exercise so I downloaded the menu on my phone and ordered a sangria and a chicken burrito. The sangria was not a sangria but a sangria posing as a frozen margarita. I have had sangria in three countries and have never before had a mountain of ice in my glass. The impact of this was twofold - firstly, true to Archimedes Principle, the weight of the ice has the impact of raising the level of the sangria to the rim of the glass which makes negotiating it in the dark a wet, sticky experience and secondly dealing with the first problem by sucking through a straw delivers 'brain freezer. Luckily, the darkness spared the other diners from witnessing my head holding pain!!

The food arrived and looked OK. I moved to a higher table to reduce the distance from plate to mouth (given the attendant perils of dining in the dark). As for the food, the chicken burrito tasted like it should, the refried beans tasted like they should and the rice tasted like it should. It would have been very good but for one thing. There was not a single hot (or even warm thing) on my plate. At this point I decided to eat it as presented, pay the bill and go. I'm sad to say it was a nightmare in the dark. However I'm nothing if not balanced so it's only fair to point out that the service was responsive, helpful and unobtrusive and the setting is very nice. I suspect it gets livelier and noisier later on. Buy the bottom line is that I wanted a quiet, tasty hot meal in a nice setting. What I got was a disappointingly cold meal in a slightly noisy setting that I couldn't see in a lounge I chose to escape the louder music. Could have been very good. It wasn't!!More",4.5,01/07/2021,4.5,355 Restaurant and Lounge
57,Tia011,I cannot believe they get away with this,"I am livid as i write, I generally don’t give up on a restaurant after 1 bad experience but this place was just disgusting. We ordered a takeaway. 

I ordered the signature wings and seafood platter. 
I cannot describe the nasty refried rubbish with bits...missing we were presented with. The food looked like frozen food deep fried, i tasted one mouthful then had to bin it and make alternative arrangements for our food.

The real insult is that a platter implies an assortment of items described in the menu. Ladies and gentlemen- look at the picture and see the rubbish we were served in a standard sized plastic container. Notice no sole no spring rolls and the rubbery disgusting food costs N19,600 for this rubbish. There were two jumbo prawns and stodgy mass produced calamari and sticky clumps of pastry. The prawn was like rubber covered in sellotape doused in salt. I have never tasted such awfulness in my life.

I can’t comprehend the good reviews, we eat out very often but this amongst  the worst food we’ve ever been presented with. It was badly described, poorly cooked and shoddily presented. 

There is no justification for this, they had no signature wings. Their response when I complained was could they bring it to me tomorrow!!! Totally clueless and inept customer service. It seems to me that  are taking advantage of their position in VI to serve unimaginative, tasteless food. Yucky on every level! No self respecting establishment would allow food of this quality to go out to a customer.More",2,01/04/2020,4.5,355 Restaurant and Lounge
58,Officialbmax,"Great staff, ambience and food !!!","They've got the coolest ambience, their staffs are well organized and their food is topnotch. Was there with few friends for a birthday dinner and we all had the best dinning i must say.",1,01/03/2020,4.5,355 Restaurant and Lounge
59,TRC C,"Great ambience, great food, value for money!",Recently surprised my partner by taking her to this restaurant as I wanted to try something new. Let's just say it's become our favourite place!! The vibe is great and well worth every kobo!,5,01/05/2019,4.5,355 Restaurant and Lounge
60,bimbo o,Amazing food!!!,I visited for a girls night out with my friends. We ordered the pasta and wings. The food was done to perfection and our waitress was very attentive. If you’re going there I’ll recommend you start with the wings,5,01/05/2019,4.5,355 Restaurant and Lounge
61,Ruth O,Ambience,"One of the places you have to visit when in Lagos, great service,food tastes nice and great ambience",5,01/05/2019,4.5,355 Restaurant and Lounge
62,KayOlu,Great place,"Had and early dinner there, service was just perfect, a pleasant waitress called Gift was just too perfect and so attentive. Would definitely visit in once again. Great place.",5,01/02/2019,4.5,355 Restaurant and Lounge
63,Olakunle B,Exquisite,There haven’t been many restaurants in Lagos that have run consistently like 355 restaurant and lounge. The quality of food compliments the ambience and service. Great place!,5,01/01/2019,4.5,355 Restaurant and Lounge
64,Temitope A,Food and relaxation,"Because I work not to far from the restaurants location, it's always a first choice for my colleagues and I when we want quality food and a great atmosphere. 355 never fails to deliver. I've been to their spot at Marina in Lagos island and...I got the same level of satisfactionMore",5,01/11/2018,4.5,355 Restaurant and Lounge
65,_kaiserrey,Delicious food!,"Visited with a large group of friends. The ambience is very nice. The stairs are a bit worrisome though in terms of their steepness (especially for women if you're wearing heels) but I really enjoyed the food! So did the group! I had the seafood...pasta and it was the right amount of tasty & spicy. 

I would visit and order the same thing until the staff know that's all I eat lol. Only slight downsides were that the music was a bit loud but as we were all yapping away, it didn't detract from a lovely evening out with friends, and we only had 1 member of staff taking all our orders so that took some time but the service from the kitchen seemed quick enough.More",5,01/02/2018,4.5,355 Restaurant and Lounge
66,Saminish,Hot spot for dinner and dancing,"The pasta was great and so are the drinks. This spot has a cool vibe, great music and the upstairs bar/club is awesome.",4,01/12/2017,4.5,355 Restaurant and Lounge
67,lizzielicious,It's Alright,This place won't be my first choice for dinner and hang out but it's alright. Parking is always a nightmare like all places in VI. The food is alright- the Italian and Mexican dishes have somewhat of a Nigerian twist to them. Friday nights are...the best time to visit.More,5,01/11/2016,4.5,355 Restaurant and Lounge
68,tolaa17,Tola,"Great food, perfect music and good cocktails. Margaritas are next to none in lagos. Try the Wahalarita MArgarita",3,01/02/2017,4.5,355 Restaurant and Lounge
69,Chinma A,Attentive Staff,"Went out for a girl's night out here. The music was good, the food (esp the chicken breast and creamed spinach) was great with crispy chips! My favourite of their drinks was the Wahalarita...generally a bit pricey though. It was a bit hot inside so...we requested to be sat outside. There are no parking facilities available so it causes a bit of a bind.More",5,01/01/2017,4.5,355 Restaurant and Lounge
70,Honourable Tola A,"Great space, music, food and drink. Perfect hang out spot","Dear Chinma A.
we are sorry about the parking lot issues you encountered on your last visit to the restaurant, we are have resolved the issues and you can be sure to have a hitch free experience the next time you visit the restaurant.thanks",4,01/10/2016,4.5,355 Restaurant and Lounge
71,hossanahj,Homely Food,"Homely Food 

Wow Ate their coconut rice,Chinese rice,Efo-riro, it's rich & delicious and their are wide variety to select from",5,01/10/2019,5,777
72,chioma j,Spaghetti and chicken,"There foods are very homely and delicious,I love it so much. There africana dishes taste nice and sweet.",4,01/01/2020,5,777
73,Folake I,Sightseeing,"It’s a nice place to eat good food with homely tastes. They’v have quite numbers of African dishes and these are what distinguished 777 from other fast-food in the locality. The hygiene is excellent, well behaved staff with good customer services. Conducive environment",5,01/02/2019,5,777
74,777eatinghouse,A fast-food restaurant with a difference .,"Excellent hygiene, good foods with homely tastes . Very conducive environment. Good customer services, good music and very accessible.",5,01/04/2019,5,777
75,Omelebele N,lovely,if i have my way i can always have my dinner eveyday at the stake house . good food all the time i visit and its grilled to your specification .,4.5,01/11/2017,4.5,88 Restaurant
76,nke40,great,"i love the food, love the ambience, hate the pricing for somethings but some might says its worth it.",5,01/03/2018,4.5,88 Restaurant
77,dadachu,"Great Steakhouse, Very nice ambiance","This is a steakhouse/grill that also offers really great fish and Italian dishes.  

The service is very good, unobtrusive and attentive.   

The food is excellent - well prepared and presented - you cannot go wrong with any of the items on the menu - our...table of 8 ordered the variety and everyone was very very happy.

Nice wine list too - good selection of southern hemisphere wines.More",5,01/05/2018,4.5,88 Restaurant
78,MohamadJr,Good Food Good Atmosphere,"This is a new restaurant in town. the design of the place is extra ordinary and breath taking. the main cuisine is Italian. the steak is best in town, i highly advice to check it out. it also have an outer terrace for Hubble bubble...( Argela)More",5,01/11/2017,4.5,88 Restaurant
79,Chris H,Gorgeous Steak,This is a really nice venue for a special meal when in Lagos. We had really good steaks with veges and fries together with a good bottle of wine. Service is attentive but unobtrusive. Most of the meat is imported from RSA or the US...and are really good cutsMore,4,01/03/2018,4.5,88 Restaurant
80,655kimk,Great Grills,"The grill steak house is a good place to dine, when in Victoria Island Lagos. The ambiance is great, service good and the grills just great. 

The chilu potato wedges were not so good though. Otherwise I'd recommend this restaurant located in Eko Hotel &...Suites.More",4,01/09/2017,4.5,88 Restaurant
